test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
AMD_2022-12-31,AMD,2022-12-31,0,1,39,18,21
AMZN_2016-06-30,AMZN,2016-06-30,0,0,39,39,0
AMZN_2019-03-31,AMZN,2019-03-31,0,0,39,39,0
AMZN_2019-12-31,AMZN,2019-12-31,1,0,39,39,0
AXP_2022-06-30,AXP,2022-06-30,0,0,39,39,0
BAC_2016-09-30,BAC,2016-09-30,1,0,39,32,7
BAC_2016-12-31,BAC,2016-12-31,1,0,39,36,3
BAC_2018-09-30,BAC,2018-09-30,0,0,39,39,0
BAC_2019-03-31,BAC,2019-03-31,0,0,39,39,0
BAC_2020-06-30,BAC,2020-06-30,0,0,39,35,4
BAC_2021-06-30,BAC,2021-06-30,1,0,39,38,1
BAC_2022-12-31,BAC,2022-12-31,0,0,39,37,2
BAC_2023-09-30,BAC,2023-09-30,1,0,39,39,0
BEN_2022-03-31,BEN,2022-03-31,1,0,39,39,0
BEN_2022-06-30,BEN,2022-06-30,0,0,39,36,3
BEN_2023-06-30,BEN,2023-06-30,0,0,39,39,0
BEN_2023-12-31,BEN,2023-12-31,0,0,39,39,0
BK_2021-06-30,BK,2021-06-30,1,0,39,39,0
BK_2023-09-30,BK,2023-09-30,0,0,39,34,5
BX_2016-09-30,BX,2016-09-30,0,0,39,39,0
BX_2017-09-30,BX,2017-09-30,0,0,39,39,0
BX_2018-03-31,BX,2018-03-31,0,0,39,39,0
BX_2020-09-30,BX,2020-09-30,1,0,39,35,4
BX_2022-09-30,BX,2022-09-30,0,0,39,36,3
CBOE_2018-12-31,CBOE,2018-12-31,0,0,39,31,8
CB_2023-09-30,CB,2023-09-30,0,0,39,39,0
CCL_2023-09-30,CCL,2023-09-30,1,0,39,30,9
CDNS_2018-12-31,CDNS,2018-12-31,1,0,39,36,3
CINF_2019-03-31,CINF,2019-03-31,1,0,39,39,0
CINF_2023-06-30,CINF,2023-06-30,0,0,39,39,0
CME_2017-09-30,CME,2017-09-30,0,0,39,39,0
CME_2017-12-31,CME,2017-12-31,1,0,39,39,0
CME_2019-03-31,CME,2019-03-31,1,0,39,39,0
CMG_2019-12-31,CMG,2019-12-31,0,0,39,39,0
CMG_2020-06-30,CMG,2020-06-30,0,1,39,14,25
CMG_2022-06-30,CMG,2022-06-30,1,0,39,38,1
COF_2015-09-30,COF,2015-09-30,0,0,39,39,0
COF_2017-06-30,COF,2017-06-30,0,0,39,39,0
CRM_2015-09-30,CRM,2015-09-30,0,0,39,39,0
CRM_2017-03-31,CRM,2017-03-31,1,0,39,39,0
CRM_2019-12-31,CRM,2019-12-31,0,0,39,39,0
CSCO_2016-06-30,CSCO,2016-06-30,0,0,39,39,0
CTSH_2017-09-30,CTSH,2017-09-30,0,0,39,39,0
CTSH_2022-03-31,CTSH,2022-03-31,0,0,39,39,0
C_2017-06-30,C,2017-06-30,0,0,39,39,0
C_2017-12-31,C,2017-12-31,0,0,39,39,0
C_2020-09-30,C,2020-09-30,1,1,39,8,31
C_2022-03-31,C,2022-03-31,1,0,39,39,0
C_2023-12-31,C,2023-12-31,0,0,39,38,1
DHI_2017-09-30,DHI,2017-09-30,1,0,39,39,0
DPZ_2020-06-30,DPZ,2020-06-30,0,1,39,13,26
DRI_2018-09-30,DRI,2018-09-30,1,0,39,39,0
DRI_2020-03-31,DRI,2020-03-31,1,0,39,37,2
DRI_2023-12-31,DRI,2023-12-31,0,0,39,39,0
EBAY_2019-09-30,EBAY,2019-09-30,0,0,39,39,0
EBAY_2020-09-30,EBAY,2020-09-30,0,0,39,35,4
EBAY_2020-12-31,EBAY,2020-12-31,0,0,39,33,6
EXPE_2018-03-31,EXPE,2018-03-31,0,0,39,38,1
EXPE_2021-09-30,EXPE,2021-09-30,0,0,39,39,0
FIS_2019-03-31,FIS,2019-03-31,1,0,39,39,0
FITB_2017-03-31,FITB,2017-03-31,0,0,39,39,0
FITB_2018-06-30,FITB,2018-06-30,0,0,39,39,0
FSLR_2018-03-31,FSLR,2018-03-31,0,0,39,35,4
FTNT_2019-03-31,FTNT,2019-03-31,0,0,39,38,1
FTNT_2023-06-30,FTNT,2023-06-30,0,0,39,39,0
F_2017-09-30,F,2017-09-30,0,0,39,39,0
