test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
GM_2023-09-30,GM,2023-09-30,0,0,30,15,15
GRMN_2023-12-31,GRMN,2023-12-31,0,0,30,30,0
GS_2017-12-31,GS,2017-12-31,0,0,30,30,0
HAS_2017-09-30,HAS,2017-09-30,0,0,30,30,0
HAS_2019-03-31,HAS,2019-03-31,0,0,30,30,0
HAS_2019-12-31,HAS,2019-12-31,0,0,30,30,0
HAS_2022-12-31,HAS,2022-12-31,0,0,30,30,0
HPQ_2017-03-31,HPQ,2017-03-31,0,0,30,30,0
HPQ_2020-06-30,HPQ,2020-06-30,0,0,30,30,0
HPQ_2020-09-30,HPQ,2020-09-30,1,0,30,27,3
HPQ_2022-06-30,HPQ,2022-06-30,0,0,30,30,0
HPQ_2022-12-31,HPQ,2022-12-31,0,0,30,30,0
IBM_2016-06-30,IBM,2016-06-30,0,0,30,30,0
IBM_2017-06-30,IBM,2017-06-30,0,0,30,30,0
IBM_2021-03-31,IBM,2021-03-31,0,0,30,30,0
IBM_2021-12-31,IBM,2021-12-31,0,0,30,30,0
INTC_2022-09-30,INTC,2022-09-30,1,1,30,6,24
INTC_2023-03-31,INTC,2023-03-31,0,0,30,29,1
JPM_2017-03-31,JPM,2017-03-31,0,0,30,30,0
JPM_2020-09-30,JPM,2020-09-30,1,1,30,1,29
JPM_2021-03-31,JPM,2021-03-31,1,0,30,15,15
JPM_2021-06-30,JPM,2021-06-30,0,0,30,17,13
KEY_2016-09-30,KEY,2016-09-30,1,0,30,30,0
KEY_2023-09-30,KEY,2023-09-30,1,1,30,0,30
KKR_2018-12-31,KKR,2018-12-31,0,0,30,30,0
KKR_2020-06-30,KKR,2020-06-30,0,0,30,30,0
KKR_2021-12-31,KKR,2021-12-31,0,0,30,30,0
LEN_2023-09-30,LEN,2023-09-30,1,0,30,18,12
LRCX_2017-12-31,LRCX,2017-12-31,0,0,30,27,3
LULU_2023-12-31,LULU,2023-12-31,0,0,30,30,0
MAR_2023-12-31,MAR,2023-12-31,0,0,30,30,0
MA_2021-03-31,MA,2021-03-31,0,0,30,29,1
MA_2022-06-30,MA,2022-06-30,0,0,30,30,0
MA_2022-09-30,MA,2022-09-30,1,0,30,30,0
MCD_2016-06-30,MCD,2016-06-30,0,0,30,30,0
MCD_2016-09-30,MCD,2016-09-30,0,0,30,30,0
MCD_2017-06-30,MCD,2017-06-30,0,0,30,30,0
MCD_2017-12-31,MCD,2017-12-31,0,0,30,30,0
MET_2022-09-30,MET,2022-09-30,0,0,30,29,1
MET_2023-06-30,MET,2023-06-30,0,0,30,30,0
MET_2023-12-31,MET,2023-12-31,0,0,30,30,0
MGM_2022-03-31,MGM,2022-03-31,0,0,30,30,0
MGM_2023-12-31,MGM,2023-12-31,0,0,30,30,0
MSCI_2022-03-31,MSCI,2022-03-31,0,0,30,30,0
MSCI_2023-12-31,MSCI,2023-12-31,0,0,30,30,0
MSFT_2016-06-30,MSFT,2016-06-30,0,0,30,30,0
MSFT_2016-12-31,MSFT,2016-12-31,0,0,30,30,0
MSFT_2017-12-31,MSFT,2017-12-31,1,0,30,30,0
MSFT_2019-03-31,MSFT,2019-03-31,0,0,30,30,0
MSFT_2019-12-31,MSFT,2019-12-31,1,0,30,30,0
MSFT_2021-03-31,MSFT,2021-03-31,0,0,30,30,0
MSFT_2023-09-30,MSFT,2023-09-30,1,1,30,3,27
MS_2016-12-31,MS,2016-12-31,0,0,30,30,0
MS_2017-06-30,MS,2017-06-30,0,0,30,30,0
MS_2020-12-31,MS,2020-12-31,1,1,30,1,29
NKE_2023-09-30,NKE,2023-09-30,0,0,30,30,0
NVDA_2017-12-31,NVDA,2017-12-31,1,1,30,7,23
NVDA_2023-03-31,NVDA,2023-03-31,1,1,30,14,16
