Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
MMC,10-K (Annual report),2023-02-13,2022-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270923000014/mmc-20221231.htm,,,,,,
MMC,10-K (Annual report),2022-02-16,2021-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270922000009/mmc-20211231.htm,,,,,,
MMC,10-K (Annual report),2021-02-17,2020-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270921000008/mmc-20201231.htm,,,,,,
MMC,10-K (Annual report),2020-02-20,2019-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270920000010/mmc1231201910k.htm,,,,,,
MMC,10-K (Annual report),2019-02-21,2018-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270919000010/mmc1231201810k.htm,,,,,,
MMC,10-K (Annual report),2018-02-22,2017-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270918000007/mmc1231201710k.htm,,,,,,
MMC,10-K (Annual report),2017-02-24,2016-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270917000008/mmc1231201610k.htm,,,,,,
MMC,10-K (Annual report),2016-02-24,2015-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270916000040/mmc1231201510k.htm,,,,,,
MMC,10-K (Annual report),2015-02-26,2014-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/mmc-1231201410k.htm,,,,,,
MMC,10-K (Annual report),2014-02-27,2013-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/mmc-1231201310k.htm,,,,,,
MMC,10-K (Annual report),2013-02-27,2012-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270913000004/mmc-1231201210k.htm,,,,,,
MMC,10-K (Annual report),2012-02-28,2011-12-31,https://www.sec.gov/Archives/edgar/data/62709/000006270912000016/mmc-1231201110k.htm,,,,,,
HAS,10-Q (Quarterly report),2024-10-31,2024-09-29,https://www.sec.gov/Archives/edgar/data/46080/000004608024000167/has-20240929.htm,,,,,,
HAS,10-Q (Quarterly report),2024-07-31,2024-06-30,https://www.sec.gov/Archives/edgar/data/46080/000004608024000137/has-20240630.htm,,,,,,
HAS,10-Q (Quarterly report),2024-05-01,2024-03-31,https://www.sec.gov/Archives/edgar/data/46080/000004608024000085/has-20240331.htm,,,,,,
HAS,10-Q (Quarterly report),2023-11-01,2023-10-01,https://www.sec.gov/Archives/edgar/data/46080/000004608023000095/has-20231001.htm,,,,,,
HAS,10-Q (Quarterly report),2023-08-04,2023-07-02,https://www.sec.gov/Archives/edgar/data/46080/000004608023000083/has-20230702.htm,,,,,,
HAS,10-Q (Quarterly report),2023-05-03,2023-04-02,https://www.sec.gov/Archives/edgar/data/46080/000004608023000042/has-20230402.htm,,,,,,
HAS,10-Q (Quarterly report),2022-10-26,2022-09-25,https://www.sec.gov/Archives/edgar/data/46080/000004608022000123/has-20220925.htm,,,,,,
HAS,10-Q (Quarterly report),2022-07-26,2022-06-26,https://www.sec.gov/Archives/edgar/data/46080/000004608022000099/has-20220626.htm,,,,,,
HAS,10-Q (Quarterly report),2022-04-27,2022-03-27,https://www.sec.gov/Archives/edgar/data/46080/000004608022000069/has-20220327.htm,,,,,,
HAS,10-Q (Quarterly report),2021-10-27,2021-09-26,https://www.sec.gov/Archives/edgar/data/46080/000004608021000108/has-20210926.htm,,,,,,
HAS,10-Q (Quarterly report),2021-07-28,2021-06-27,https://www.sec.gov/Archives/edgar/data/46080/000004608021000092/has-20210627.htm,,,,,,
HAS,10-Q (Quarterly report),2021-04-29,2021-03-28,https://www.sec.gov/Archives/edgar/data/46080/000004608021000053/has-20210328.htm,,,,,,
