Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
APH,10-Q (Quarterly report),2018-05-03,2018-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837018003892/aph-20180331x10q.htm,0001558370-18-003892,APH/0001558370-18-003892,0.87,0.84,,
APH,10-Q (Quarterly report),2017-11-02,2017-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837017007980/aph-20170930x10q.htm,0001558370-17-007980,APH/0001558370-17-007980,0.91,0.88,,
APH,10-Q (Quarterly report),2017-08-03,2017-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837017005866/aph-20170630x10q.htm,0001558370-17-005866,APH/0001558370-17-005866,0.82,0.8,,
APH,10-Q (Quarterly report),2017-05-04,2017-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837017003547/aph-20170331x10q.htm,0001558370-17-003547,APH/0001558370-17-003547,0.73,0.71,,
APH,10-Q (Quarterly report),2016-11-03,2016-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837016009170/aph-20160930x10q.htm,0001558370-16-009170,APH/0001558370-16-009170,0.73,0.71,,
APH,10-Q (Quarterly report),2016-08-04,2016-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465916136887/a16-11647_110q.htm,0001104659-16-136887,APH/0001104659-16-136887,0.67,0.65,,
APH,10-Q (Quarterly report),2016-05-05,2016-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465916118327/a16-6550_110q.htm,0001104659-16-118327,APH/0001104659-16-118327,0.51,0.5,,
APH,10-Q (Quarterly report),2015-11-05,2015-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465915076130/a15-17907_110q.htm,0001104659-15-076130,APH/0001104659-15-076130,0.66,0.65,,
APH,10-Q (Quarterly report),2015-08-07,2015-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465915057512/a15-11991_110q.htm,0001104659-15-057512,APH/0001104659-15-057512,0.58,0.56,,
APH,10-Q (Quarterly report),2015-05-08,2015-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465915036125/a15-7228_110q.htm,0001104659-15-036125,APH/0001104659-15-036125,0.58,0.57,,
APH,10-Q (Quarterly report),2014-11-05,2014-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465914076813/a14-19652_110q.htm,0001104659-14-076813,APH/0001104659-14-076813,0.58,0.57,,
APH,10-Q (Quarterly report),2014-08-06,2014-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465914057288/a14-13902_110q.htm,0001104659-14-057288,APH/0001104659-14-057288,1.11,1.09,,
APH,10-Q (Quarterly report),2014-05-07,2014-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465914035493/a14-8715_110q.htm,0001104659-14-035493,APH/0001104659-14-035493,1.01,0.98,,
APH,10-Q (Quarterly report),2013-11-01,2013-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465913079916/a13-19632_110q.htm,0001104659-13-079916,APH/0001104659-13-079916,1.01,0.99,,
APH,10-Q (Quarterly report),2013-08-02,2013-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465913059242/a13-13753_110q.htm,0001104659-13-059242,APH/0001104659-13-059242,0.96,0.95,,
APH,10-Q (Quarterly report),2013-05-03,2013-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465913037040/a13-8433_110q.htm,0001104659-13-037040,APH/0001104659-13-037040,0.96,0.94,,
APH,10-Q (Quarterly report),2012-11-02,2012-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465912073553/a12-19909_110q.htm,0001104659-12-073553,APH/0001104659-12-073553,0.91,0.9,,
APH,10-Q (Quarterly report),2012-08-03,2012-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465912054022/a12-13710_110q.htm,0001104659-12-054022,APH/0001104659-12-054022,0.87,0.86,,
