model_name,graph_batch,g_index,logit,prob,rank,fact_index,influence
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,12,11,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,13,12,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,14,13,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,15,14,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,1,0,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,2,1,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,3,2,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,4,3,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,5,4,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,6,5,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,7,6,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,8,7,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,9,8,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,10,9,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,11,10,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,12,11,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,13,12,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,14,13,1.0
20250818_180036,8,0,0.3144795894622803,0.577978253364563,15,14,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,1,0,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,2,1,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,3,2,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,4,3,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,5,4,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,6,5,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,7,6,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,8,7,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,9,8,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,10,9,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,11,10,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,12,11,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,13,12,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,14,13,1.0
20250818_180036,9,0,0.33580243587493896,0.5831705331802368,15,14,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,1,0,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,2,1,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,3,2,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,4,3,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,5,4,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,6,5,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,7,6,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,8,7,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,9,8,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,10,9,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,11,10,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,12,11,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,13,12,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,14,13,1.0
20250818_180036,10,0,0.3448804020881653,0.5853755474090576,15,14,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,1,0,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,2,1,1.0
