Date,Ticker,Real_Label,Misclassification_Type,Times_Correctly_Identified,Times_Misclassified,Mean_Attention_Entropy,Fact_Count,Unique_Clusters,Normalized_Entropy
2023-09-30,CCL,1,FN,29,3,2.550427,35,11,0.717349
2023-09-30,V,0,FP,30,2,3.005544,112,10,0.63697
2023-09-30,WFC,0,FP,30,2,3.091628,141,9,0.624728
2023-09-30,GM,0,FP,30,2,2.863608,450,14,0.468733
2020-12-31,EBAY,0,FP,31,1,2.668754,71,12,0.626074
2016-09-30,KEY,1,FN,31,1,2.461224,36,15,0.686818
2017-12-31,NVDA,1,FN,31,1,3.1047,387,14,0.521061
2022-03-31,MGM,0,FP,31,1,2.480558,70,11,0.583867
2019-12-31,CMG,0,FP,31,1,2.77075,76,16,0.639788
2022-09-30,V,0,,32,0,2.882007,55,16,0.719183
2018-09-30,EBAY,0,,32,0,2.656075,103,14,0.573081
2017-12-31,TSLA,0,,32,0,3.130834,72,12,0.732074
2017-09-30,CTSH,0,,32,0,2.571633,38,12,0.706961
2019-03-31,ORCL,0,,32,0,2.779589,51,11,0.706946
2021-03-31,IBM,0,,32,0,2.870024,47,14,0.745432
2023-09-30,AON,0,,32,0,2.370396,44,9,0.626395
2017-12-31,GS,0,,32,0,3.114529,292,15,0.548646
2019-03-31,HAS,0,,32,0,2.279856,66,14,0.544163
2023-09-30,NKE,0,,32,0,2.612992,65,12,0.625958
2018-12-31,ACN,0,,32,0,2.734629,62,10,0.662598
2016-06-30,AXP,0,,32,0,2.709095,41,13,0.729512
2022-12-31,HPQ,0,,32,0,2.671171,85,13,0.601256
2016-03-31,DRI,0,,32,0,2.001131,71,15,0.469454
2023-03-31,BAC,0,,32,0,2.909877,187,10,0.556264
2017-06-30,PNC,0,,32,0,2.715356,38,13,0.746472
2022-03-31,MSCI,0,,32,0,2.406974,45,10,0.632306
2016-06-30,IBM,0,,32,0,2.955324,62,8,0.716072
2019-12-31,CSCO,0,,32,0,2.707941,46,13,0.707285
2020-12-31,ADBE,0,,32,0,3.03161,83,13,0.686065
2017-03-31,ORCL,0,,32,0,2.847177,71,8,0.667931
2020-06-30,KKR,0,,32,0,2.588464,99,10,0.563307
2018-09-30,C,0,,32,0,2.802541,252,15,0.506841
2016-12-31,ACGL,0,,32,0,2.76023,91,13,0.611908
2018-06-30,C,0,,32,0,2.839879,245,12,0.516224
2019-12-31,HAS,0,,32,0,2.324119,42,15,0.62181
2017-12-31,AMD,0,,32,0,2.840671,349,12,0.485164
2017-03-31,FITB,0,,32,0,2.066582,43,8,0.549447
2019-03-31,MSFT,0,,32,0,2.697699,195,12,0.511606
2016-12-31,CRM,0,,32,0,2.900113,181,13,0.557875
2023-06-30,NVDA,0,,32,0,3.129192,951,12,0.456316
2023-12-31,SCHW,0,,32,0,2.885887,60,5,0.704847
2023-12-31,MGM,0,,32,0,2.798909,132,11,0.573218
2022-03-31,CBOE,0,,32,0,2.273346,86,14,0.510366
2021-12-31,IBM,0,,32,0,2.900877,55,11,0.723892
2019-09-30,BAC,0,,32,0,2.725819,107,13,0.583334
2017-09-30,F,0,,32,0,2.741125,39,12,0.748213
2017-03-31,CME,0,,32,0,2.707381,45,8,0.711222
2016-12-31,ACN,0,,32,0,2.618745,64,9,0.629675
2023-06-30,AMD,0,,32,0,2.98043,629,11,0.462503
2022-12-31,ADBE,0,,32,0,2.937894,202,11,0.553456
2020-06-30,DRI,0,,32,0,2.289568,66,14,0.546481
2016-03-31,FSLR,0,,32,0,2.431708,110,16,0.517332
2023-06-30,MET,0,,32,0,2.863782,93,12,0.631819
2018-12-31,QCOM,0,,32,0,2.883422,101,15,0.624777
2015-09-30,AAPL,0,,32,0,3.045606,125,10,0.63078
2023-06-30,WFC,0,,32,0,3.152811,127,10,0.650844
2016-06-30,MCD,0,,32,0,3.137535,72,18,0.73364
2022-09-30,MET,0,,32,0,2.727527,53,11,0.686984
2015-12-31,ACN,0,,32,0,2.784061,46,12,0.727167
2016-06-30,FSLR,0,,32,0,2.693521,79,14,0.616444
2018-06-30,ACN,0,,32,0,2.717469,64,13,0.653413
2017-03-31,HPQ,0,,32,0,2.743883,92,11,0.606814
2023-06-30,AAPL,0,,32,0,3.141208,1541,14,0.427947
2020-09-30,CCL,1,,32,0,2.895376,67,11,0.688606
2017-06-30,MS,0,,32,0,2.834562,70,14,0.667192
2017-06-30,BAC,0,,32,0,2.922201,252,13,0.528482
2022-06-30,ACN,0,,32,0,2.730569,78,13,0.62675
